Fecha,BTC_price,BTC_supply,MarketCapBTC_USD,M2SL_USD,m2_published,TxVolumeUSD,TxTfrCnt,Gold_price,Dominance_dec,DMB,MC2,MC1,RV12,UC
2015-11-01,358.0,14902975.0,5335265050.0,12317000000000.0,True,5229052921.130156,161710.5,1065.3,0.9059833333333331,-7.7443971360722665,-7.764505525088644,-4.523508436892985,0.046777990120762,2.2655488384765725
2015-12-01,433.23,15029550.0,6511251946.5,12387900000000.0,True,5815479597.984357,195796.0,1060.2,0.9106838709677421,-7.550943719711098,-7.663952210155156,-4.340700241300503,0.44200127541055456,2.3220137359932083
2016-01-01,376.6,15151225.0,5705951335.0,12518500000000.0,True,3795882872.2371664,193497.125,1116.4,0.9020999999999999,-7.693453105156529,-8.101045804473188,-4.360574011276165,0.49318000965129927,2.2207788291261275
2016-02-01,431.59,15265025.0,6588232139.75,12603900000000.0,True,4455577764.73624,220257.57142857142,1234.4,0.8559482758620689,-7.556476520405663,-7.9476048272884565,-4.238521902155396,0.5696812161552178,1.7820375184381998
2016-03-01,413.74,15379475.0,6363103986.5,12661800000000.0,True,4365847871.123444,203665.0,1235.6,0.7922516129032258,-7.595828559199251,-7.97253245215935,-4.3243126200724955,0.4486723341059048,1.33855136438865
2016-04-01,445.29,15490950.0,6897965125.5,12743200000000.0,True,3956545678.2611403,214437.75,1290.5,0.8180933333333335,-7.521526616219354,-8.077381733861513,-4.279991774961713,0.5923901181632778,1.5034826944968422
2016-05-01,511.3,15606450.0,7979577885.0,12802000000000.0,True,4583408241.529174,219985.85714285713,1217.5,0.8074709677419354,-7.380471174255848,-7.9349138087846685,-4.26187631075276,0.753038358115225,1.4336601419085957
2016-06-01,630.19,15718075.0,9905373684.25,12852500000000.0,True,5908942833.07944,230605.0,1320.6,0.81628,-7.168216217660901,-7.684826686163701,-4.221860312847065,0.8107517145587645,1.4913445739032924
2016-07-01,655.54,15788600.0,10350058844.0,12911900000000.0,True,5131404338.021668,209080.5,1357.5,0.8173129032258065,-7.128912440640314,-7.830525273924512,-4.32432409433664,0.6061384732332237,1.4982471763421166
2016-08-01,571.5,15846712.5,9056396193.75,12989700000000.0,True,4979479047.551057,224625.2857142857,1311.4,0.7996193548387097,-7.268440744896033,-7.866586738070561,-4.256283727478993,0.7850076211364632,1.3839170244695298
2016-09-01,606.79,15903550.0,9650115104.5,13054900000000.0,True,3852224148.785465,227335.75,1317.1,0.7956300000000001,-7.209948977996252,-8.128268138725515,-4.247869634110057,0.7647350239538784,1.3592021771391156
2016-10-01,685.91,15960350.0,10947363668.5,13122800000000.0,True,4680610816.918209,244478.625,1273.1,0.8081838709677419,-7.089007787955183,-7.938677836514022,-4.178734918807503,0.6280153650189464,1.4382523438245207
2016-11-01,730.02,16016762.5,11692556960.25,13208700000000.0,True,5400441903.21858,276205.28571428574,1173.9,0.8416233333333334,-7.0296785002522855,-7.802150198227147,-4.0602467309999,0.6154638553593877,1.6703564044350643
2016-12-01,930.34,16075412.5,14955599265.25,13234900000000.0,True,6920469931.471833,281746.75,1151.7,0.8668645161290323,-6.785526796399758,-7.556128882413112,-4.044037591936259,0.6814998038051601,1.8735154116836568
2017-01-01,918.62,16136812.5,14823598698.75,13315700000000.0,True,8348968152.334732,278741.375,1211.4,0.8552967741935484,-6.8004786515867455,-7.374561112496946,-4.058574051022174,0.8100214348090871,1.776763586576353
2017-02-01,1150.37,16190000.0,18624490300.0,13394800000000.0,True,6218433037.62858,295141.14285714284,1253.9,0.8569321428571428,-6.578144453474657,-7.675103899120593,-4.004695354389545,0.964689173079177,1.7900396924167539
2017-03-01,1039.77,16247900.0,16894078983.0,13463600000000.0,True,10710063719.710962,281655.28571428574,1251.2,0.7643096774193548,-6.680781822071577,-7.136561192581284,-4.055035016513005,0.9089706478696233,1.1764542930837019
2017-04-01,1288.02,16303375.0,20999073067.5,13521700000000.0,True,9913351646.400484,285204.375,1268.3,0.6678533333333333,-6.467572784230976,-7.218168581658372,-4.045921392041921,1.0794879982745533,0.6984919501169649
2017-05-01,2177.38,16364025.0,35630700754.5,13568900000000.0,True,21698035237.839695,321986.5,1270.1,0.5175838709677419,-5.942328041413209,-6.438313973966749,-3.928330987592277,1.4066250344985805,0.07036450168086546
2017-06-01,2541.69,16419912.5,41734327402.125,13580500000000.0,True,21789613934.8766,269833.14285714284,1242.3,0.41618666666666665,-5.785066230032197,-6.434956788023212,-4.108446275578769,1.4556848104152154,-0.3384474194647826
2017-07-01,2656.53,16480987.5,43782237723.375,13643100000000.0,True,20737019942.15145,225900.125,1279.4,0.46237741935483884,-5.741760974599694,-6.489068672316919,-4.289869745968778,1.4585702702115573,-0.150775308424429
2017-08-01,4376.66,16536062.5,72372723301.25,13697700000000.0,True,31668125138.557766,272775.375,1330.4,0.4685709677419354,-5.243153736089743,-6.069672555631646,-4.104650226687144,2.0213922921142617,-0.1258820965189594
2017-09-01,4164.27,16596750.0,69113348122.5,13745100000000.0,True,26626154484.85774,247175.85714285713,1284.8,0.47653,-5.292689792734633,-6.2465436919225885,-4.206862116509818,1.9509427874997498,-0.09394904188923077
2017-10-01,5769.89,16656975.0,96108913482.75,13800100000000.0,True,32925054735.73549,296944.5,1277.3,0.5398806451612904,-4.966949053659011,-6.038197207430973,-4.027039073951774,2.12636826743076,0.15986216478099252
2017-11-01,9919.0,16711650.0,165762856350.0,13843500000000.0,True,74217266841.61385,304060.14285714284,1282.3,0.5638433333333333,-4.425012896609873,-5.22857425751213,-4.006635839797487,2.5208116561379876,0.25677492910929184
2017-12-01,12612.54,16774512.5,211569209886.75,13881700000000.0,True,116353233579.34785,369592.125,1309.3,0.5166451612903226,-4.183774526482879,-4.7816960237556065,-3.815215867592415,2.478643193821978,0.06660525743107727
2018-01-01,11431.37,16837700.0,192477978649.0,13900300000000.0,True,93527266469.68658,286798.75,1347.9,0.34475806451612906,-4.279683951064218,-5.001412687841249,-4.072594948618001,2.4144729555095203,-0.6421616258270776
2018-02-01,9699.76,16892312.5,163851377095.0,13949300000000.0,True,42554031444.03771,192312.14285714287,1305.2,0.3651928571428572,-4.444224827061645,-5.792410010206924,-4.475494119780207,2.091919921653869,-0.5528956509518153
2018-03-01,7950.61,16950500.0,134766814805.0,14012700000000.0,True,41238698744.28122,181887.5,1327.3,0.4297741935483871,-4.644173353050232,-5.828342234840628,-4.5346642468122,1.9752054075923073,-0.28277249457567116
2018-04-01,9398.4,17008125.0,159849162000.0,14035900000000.0,True,25179741023.27751,199597.2857142857,1306.8,0.41405000000000003,-4.475142979063476,-6.32333386859429,-4.445144684878239,1.9575293268567175,-0.34724772222490213
2018-05-01,7344.56,17067087.5,125350248169.0,14092400000000.0,True,33354756794.508644,197551.0,1299.3,0.37389354838709676,-4.72227911954664,-6.046190529247936,-4.4589104014044,1.193107563600067,-0.5155492802242905
2018-06-01,5878.14,17124587.5,100660722767.25,14137200000000.0,True,21220583355.291218,190533.85714285713,1254.5,0.39941000000000004,-4.944809218435004,-6.501593276407823,-4.498440668690003,0.8286385846401919,-0.40792404716935166
2018-07-01,8171.49,17182662.5,140407954792.125,14174600000000.0,True,23412193144.335815,200960.125,1227.6,0.44319032258064517,-4.614654761452641,-6.40594994830719,-4.448549654953737,1.1649606811552902,-0.22822418942966363
2018-08-01,6901.26,17242700.0,118996355802.0,14223200000000.0,True,20246764140.93339,217832.0,1206.7,0.5132774193548387,-4.783536844072347,-6.554634727927938,-4.371420020994319,0.5530084150109014,0.053122166300903016
2018-09-01,6628.66,17297937.5,114662146388.75,14245500000000.0,True,22748118485.94364,228910.14285714287,1196.2,0.5400266666666667,-4.8222063994512006,-6.43971390828888,-4.325013016446157,0.5363148805894681,0.1604500042668195
2018-10-01,6301.61,17352675.0,109349790306.75,14256600000000.0,True,23359647388.43628,240589.75,1238.6,0.5331,-4.870423406879829,-6.413965173194026,-4.278408751360713,0.1189189056355523,0.1325939218518241
2018-11-01,3828.45,17401050.0,66619049872.5,14282800000000.0,True,24925137885.08834,267068.375,1226.0,0.5295000000000001,-5.36782072433608,-6.350934447271952,-4.176781116451418,-0.9070935852543324,0.11813720601602724
