date,value
2023-05-18,19377375.0
2023-05-19,19378312.5
2023-05-20,19379131.25
2023-05-21,19380075.0
2023-05-22,19380975.0
2023-05-23,19381937.5
2023-05-24,19382818.75
2023-05-25,19383762.5
2023-05-26,19384718.75
2023-05-27,19385625.0
2023-05-28,19386625.0
2023-05-29,19387637.5
2023-05-30,19388600.0
2023-05-31,19389481.25
2023-06-01,19390306.25
2023-06-02,19391331.25
2023-06-03,19392143.75
2023-06-04,19393068.75
2023-06-05,19393931.25
2023-06-06,19394875.0
2023-06-07,19395718.75
2023-06-08,19396681.25
2023-06-09,19397737.5
2023-06-10,19398700.0
2023-06-11,19399718.75
2023-06-12,19400700.0
2023-06-13,19401618.75
2023-06-14,19402375.0
2023-06-15,19403300.0
2023-06-16,19404256.25
2023-06-17,19405131.25
2023-06-18,19406075.0
2023-06-19,19406962.5
2023-06-20,19407812.5
2023-06-21,19408568.75
2023-06-22,19409425.0
2023-06-23,19410206.25
2023-06-24,19411118.75
2023-06-25,19412075.0
2023-06-26,19412987.5
2023-06-27,19413862.5
2023-06-28,19414537.5
2023-06-29,19415450.0
2023-06-30,19416437.5
2023-07-01,19417268.75
2023-07-02,19418337.5
2023-07-03,19419193.75
2023-07-04,19420081.25
2023-07-05,19421050.0
2023-07-06,19421918.75
2023-07-07,19423012.5
2023-07-08,19424125.0
2023-07-09,19425181.25
2023-07-10,19426143.75
2023-07-11,19426987.5
2023-07-12,19427887.5
2023-07-13,19428637.5
2023-07-14,19429500.0
2023-07-15,19430362.5
2023-07-16,19431331.25
2023-07-17,19432181.25
2023-07-18,19433193.75
2023-07-19,19434118.75
2023-07-20,19434918.75
2023-07-21,19435618.75
2023-07-22,19436456.25
2023-07-23,19437375.0
2023-07-24,19438312.5
2023-07-25,19439175.0
2023-07-26,19440075.0
2023-07-27,19440937.5
2023-07-28,19441812.5
2023-07-29,19442637.5
2023-07-30,19443687.5
2023-07-31,19444568.75
2023-08-01,19445437.5
2023-08-02,19446400.0
2023-08-03,19447343.75
2023-08-04,19448100.0
2023-08-05,19449062.5
2023-08-06,19450087.5
2023-08-07,19451000.0
2023-08-08,19451781.25
2023-08-09,19452793.75
2023-08-10,19453587.5
2023-08-11,19454531.25
2023-08-12,19455575.0
2023-08-13,19456418.75
2023-08-14,19457487.5
2023-08-15,19458556.25
2023-08-16,19459575.0
2023-08-17,19460550.0
2023-08-18,19461418.75
2023-08-19,19462293.75
2023-08-20,19463306.25
2023-08-21,19464337.5
2023-08-22,19465231.25
2023-08-23,19466118.75
2023-08-24,19466987.5
2023-08-25,19467831.25
2023-08-26,19468687.5
2023-08-27,19469412.5
2023-08-28,19470150.0
2023-08-29,19471137.5
2023-08-30,19471925.0
2023-08-31,19472825.0
2023-09-01,19473768.75
2023-09-02,19474718.75
2023-09-03,19475706.25
2023-09-04,19476637.5
2023-09-05,19477412.5
2023-09-06,19478256.25
2023-09-07,19479168.75
2023-09-08,19480000.0
2023-09-09,19480943.75
2023-09-10,19481862.5
2023-09-11,19482856.25
2023-09-12,19483737.5
2023-09-13,19484656.25
2023-09-14,19485668.75
2023-09-15,19486843.75
2023-09-16,19487812.5
2023-09-17,19488743.75
2023-09-18,19489718.75
2023-09-19,19490587.5
2023-09-20,19491500.0
2023-09-21,19492362.5
2023-09-22,19493168.75
2023-09-23,19494143.75
2023-09-24,19495056.25
2023-09-25,19495962.5
2023-09-26,19496812.5
2023-09-27,19497793.75
2023-09-28,19498706.25
