date,value
2013-08-12,50228.0
2013-08-16,71119.0
2013-08-20,63228.0
2013-08-24,51817.0
2013-08-28,64747.0
2013-09-01,46598.0
2013-09-05,60730.0
2013-09-09,57676.0
2013-09-13,44834.0
2013-09-17,67931.0
2013-09-21,52498.0
2013-09-25,54548.0
2013-09-29,41181.0
2013-10-03,59551.0
2013-10-07,44547.0
2013-10-11,51922.0
2013-10-15,55826.0
2013-10-19,55311.0
2013-10-23,55314.0
2013-10-27,43691.0
2013-10-31,58181.0
2013-11-04,45523.0
2013-11-08,59223.0
2013-11-12,58307.0
2013-11-16,47175.0
2013-11-20,77558.0
2013-11-24,60861.0
2013-11-28,98921.0
2013-12-02,75570.0
2013-12-06,72099.0
2013-12-10,67623.0
2013-12-14,54113.0
2013-12-18,81510.0
2013-12-22,52897.0
2013-12-26,51276.0
2013-12-30,55613.0
2014-01-03,60980.0
2014-01-07,62911.0
2014-01-11,55856.0
2014-01-15,61612.0
2014-01-19,48005.0
2014-01-23,63576.0
2014-01-27,64374.0
2014-01-31,60269.0
2014-02-04,69799.0
2014-02-08,65009.0
2014-02-12,62126.0
2014-02-16,57531.0
2014-02-20,71144.0
2014-02-24,73796.0
2014-02-28,70290.0
2014-03-04,84600.0
2014-03-08,64590.0
2014-03-12,76339.0
2014-03-16,59332.0
2014-03-20,71002.0
2014-03-24,70983.0
2014-03-28,67079.0
2014-04-01,64136.0
2014-04-05,55795.0
2014-04-09,65153.0
2014-04-13,51168.0
2014-04-17,65190.0
2014-04-21,58110.0
2014-04-25,72650.0
2014-04-29,65038.0
2014-05-03,54157.0
2014-05-07,69825.0
2014-05-11,52590.0
2014-05-15,74893.0
2014-05-19,64094.0
2014-05-23,72810.0
2014-05-27,68524.0
2014-05-31,52172.0
2014-06-04,65094.0
2014-06-08,48308.0
2014-06-12,64744.0
2014-06-16,68262.0
2014-06-20,57381.0
2014-06-24,64883.0
2014-06-28,54392.0
2014-07-02,66728.0
2014-07-06,52139.0
2014-07-10,64605.0
2014-07-14,62761.0
2014-07-18,64062.0
2014-07-22,66858.0
2014-07-26,56333.0
2014-07-30,66153.0
2014-08-03,53621.0
2014-08-07,69913.0
2014-08-11,75575.0
2014-08-15,73193.0
2014-08-19,74740.0
2014-08-23,57593.0
2014-08-27,74581.0
2014-08-31,57755.0
2014-09-04,70810.0
2014-09-08,75766.0
2014-09-12,68384.0
2014-09-16,87234.0
2014-09-20,63482.0
2014-09-24,74974.0
2014-09-28,62605.0
2014-10-02,72059.0
2014-10-06,78049.0
2014-10-10,81058.0
2014-10-14,81364.0
2014-10-18,66477.0
2014-10-22,79987.0
2014-10-26,70762.0
2014-10-30,92622.0
2014-11-03,90351.0
2014-11-07,84866.0
2014-11-11,85618.0
2014-11-15,73242.0
2014-11-19,85271.0
2014-11-23,77283.0
2014-11-27,84682.0
2014-12-01,97623.0
2014-12-05,90900.0
2014-12-09,90220.0
2014-12-13,76207.0
2014-12-17,98444.0
2014-12-21,78963.0
2014-12-25,67918.0
2014-12-29,83447.0
2015-01-02,79287.0
2015-01-06,87821.0
2015-01-10,104874.0
2015-01-14,104765.0
2015-01-18,83186.0
2015-01-22,93698.0
2015-01-26,108181.0
2015-01-30,81199.0
2015-02-03,91793.0
2015-02-07,85699.0
2015-02-11,97048.0
2015-02-15,85267.0
2015-02-19,94552.0
2015-02-23,101515.0
2015-02-27,101474.0
2015-03-03,110981.0
2015-03-07,91505.0
2015-03-11,100765.0
2015-03-15,84934.0
2015-03-19,106297.0
2015-03-23,106019.0
2015-03-27,99491.0
2015-03-31,115111.0
2015-04-04,89651.0
2015-04-08,110751.0
2015-04-12,86999.0
2015-04-16,99046.0
2015-04-20,116746.0
2015-04-24,108776.0
2015-04-28,113193.0
2015-05-02,95102.0
2015-05-06,111733.0
2015-05-10,89409.0
2015-05-14,101584.0
2015-05-18,98578.0
2015-05-22,102770.0
2015-05-26,108384.0
2015-05-30,127801.0
2015-06-03,127600.0
2015-06-07,83627.0
2015-06-11,120624.0
2015-06-15,129389.0
2015-06-19,125222.0
2015-06-23,125560.0
2015-06-27,106004.0
2015-07-01,144112.0
2015-07-05,115084.0
2015-07-09,191163.0
2015-07-13,159695.0
2015-07-17,116906.0
2015-07-21,133785.0
2015-07-25,100544.0
2015-07-29,143200.0
2015-08-02,103600.0
2015-08-06,134838.0
2015-08-10,116841.0
2015-08-14,111255.0
2015-08-18,119798.0
2015-08-22,105665.0
2015-08-26,122852.0
2015-08-30,98339.0
2015-09-03,128682.0
2015-09-07,125467.0
2015-09-11,180002.0
2015-09-15,162999.0
2015-09-19,114851.0
2015-09-23,131400.0
2015-09-27,108749.0
2015-10-01,134327.0
2015-10-05,125548.0
2015-10-09,114644.0
2015-10-13,134878.0
2015-10-17,135911.0
2015-10-21,150199.0
2015-10-25,131488.0
2015-10-29,161062.0
2015-11-02,172108.0
2015-11-06,166893.0
2015-11-10,161962.0
2015-11-14,150474.0
2015-11-18,165269.0
2015-11-22,129659.0
2015-11-26,164671.0
2015-11-30,182648.0
2015-12-04,173586.0
2015-12-08,195221.0
2015-12-12,204141.0
2015-12-16,220420.0
2015-12-20,193847.0
2015-12-24,210228.0
2015-12-28,173129.0
2016-01-01,124092.0
2016-01-05,182371.0
2016-01-09,179968.0
2016-01-13,188131.0
2016-01-17,204128.0
2016-01-21,222743.0
2016-01-25,222150.0
2016-01-29,224394.0
2016-02-02,241722.0
2016-02-06,224156.0
2016-02-10,235527.0
2016-02-14,186088.0
2016-02-18,212979.0
2016-02-22,237696.0
2016-02-26,203635.0
2016-03-01,277094.0
2016-03-05,234992.0
2016-03-09,190388.0
2016-03-13,149803.0
2016-03-17,208319.0
2016-03-21,199006.0
2016-03-25,172309.0
2016-03-29,197409.0
2016-04-02,183503.0
2016-04-06,219290.0
2016-04-10,186954.0
2016-04-14,227928.0
2016-04-18,220395.0
2016-04-22,210976.0
2016-04-26,250744.0
2016-04-30,215712.0
2016-05-04,233691.0
2016-05-08,189025.0
2016-05-12,228409.0
2016-05-16,239809.0
2016-05-20,209396.0
2016-05-24,246517.0
2016-05-28,193054.0
2016-06-01,234384.0
2016-06-05,189802.0
2016-06-09,236353.0
2016-06-13,251354.0
2016-06-17,253752.0
2016-06-21,248164.0
2016-06-25,206919.0
2016-06-29,224112.0
2016-07-03,177127.0
2016-07-07,215548.0
2016-07-11,218089.0
2016-07-15,216081.0
2016-07-19,222146.0
2016-07-23,195796.0
2016-07-27,235603.0
2016-07-31,192254.0
2016-08-04,231835.0
2016-08-08,235295.0
2016-08-12,232973.0
2016-08-16,254431.0
2016-08-20,208224.0
2016-08-24,235130.0
2016-08-28,174489.0
2016-09-01,237466.0
2016-09-05,227683.0
2016-09-09,220534.0
2016-09-13,239886.0
2016-09-17,215529.0
2016-09-21,239216.0
2016-09-25,195642.0
2016-09-29,242730.0
2016-10-03,256665.0
2016-10-07,266324.0
2016-10-11,263565.0
2016-10-15,210448.0
2016-10-19,199083.0
2016-10-23,191578.0
